230 families
  NEW n=5 best=5 (formula 5) D2 A B C params=[1.0, 1.0] nb=7 deg=2 lines=2 root p1 lvl0
D4 A G C n=13 p=3 K=144: 317 roots, 91 evals, 6.6s
D6 A A I n=13 p=2 K=112: 30 roots, 11 evals, 0.7s
D6 A B I n=13 p=2 K=107: 50 roots, 13 evals, 0.7s
D6 G I n=13 p=2 K=97: 0 roots, 6 evals, 0.3s
D6 G C n=13 p=2 K=97: 0 roots, 6 evals, 0.3s
D6 A B C n=13 p=2 K=107: 50 roots, 13 evals, 0.8s
D6 A A C n=13 p=2 K=112: 30 roots, 11 evals, 0.7s
D2 G G G C I n=14 p=6 K=266: 582 roots, 603 evals, 61.2s
D3 A B G C I n=14 p=4 K=190: 492 roots, 510 evals, 62.9s
D3 G G C I n=14 p=4 K=180: 802 roots, 618 evals, 53.2s
D3 A A G C I n=14 p=4 K=190: 670 roots, 612 evals, 62.6s
D4 A A A C I n=14 p=3 K=173: 233 roots, 84 evals, 4.8s
D4 A A B C I n=14 p=3 K=159: 802 roots, 276 evals, 20.2s
D4 A G C I n=14 p=3 K=144: 263 roots, 91 evals, 6.7s
D4 A B B C I n=14 p=3 K=159: 697 roots, 251 evals, 17.5s
D6 A A C I n=14 p=2 K=112: 30 roots, 11 evals, 0.7s
D6 G C I n=14 p=2 K=97: 0 roots, 6 evals, 0.3s
D6 A B C I n=14 p=2 K=107: 50 roots, 13 evals, 0.9s
D3 A G G n=15 p=5 K=421: 574 roots, 595 evals, 61.8s
D5 A G n=15 p=3 K=259: 494 roots, 149 evals, 10.1s
D5 A A A n=15 p=3 K=278: 778 roots, 307 evals, 24.5s
D5 A A B n=15 p=3 K=278: 1583 roots, 606 evals, 44.8s
D5 A B B n=15 p=3 K=278: 1297 roots, 504 evals, 38.1s
